,dish_type,restaurant_name,price,star,comment_num
0,聚餐宴请,朝府城,68,4,1614
1,聚餐宴请,雍记大酒店（嘉定新城店）,71,4,452
2,聚餐宴请,特色活羊烧烤,36,4,285
3,聚餐宴请,和路雪星任冷饮批发部,9,5,635
4,聚餐宴请,虾烤汇小龙虾,32,4,1032
5,聚餐宴请,盯把来黑土地东北菜（成山路店）,51,4,381
6,聚餐宴请,索菲特海仑宾馆海茂中餐厅,175,4,544
7,聚餐宴请,尹兰楼西北清真餐厅（嘉定店）,56,4,1229
8,聚餐宴请,香港翠庭餐厅（传奇广场店）,88,4,431
9,聚餐宴请,洲海花园酒店丽景轩餐厅,124,5,357
10,聚餐宴请,国营工农饭店,57,4,555
11,聚餐宴请,万嘉（锦尊店）,83,4,719
12,聚餐宴请,麦盛莉（世博园区店）,91,4,250
13,聚餐宴请,真味川菜（龙茗店）,54,4,403
14,聚餐宴请,御京阁羊羯子火锅（高行店）,63,4,425
15,聚餐宴请,聚满楼,61,4,647
16,聚餐宴请,田园晶品会,112,4,234
17,聚餐宴请,东北农家小院（中山西路店）,54,5,1093
18,聚餐宴请,粤煮粤好中餐厅,101,4,1624
19,聚餐宴请,精典1号,53,4,596
20,聚餐宴请,杭州新开元大酒店（卢湾店）,146,4,587
21,聚餐宴请,徽膳轩（汇智国际商业中心店）,68,4,466
22,聚餐宴请,百味楼（民耀路店）,68,4,265
23,聚餐宴请,华亭湖时代大酒店,165,5,588
24,聚餐宴请,若鲜鱼虾小馆（大宁店）,64,4,1174
25,聚餐宴请,烁鼎精品火锅,117,4,202
26,聚餐宴请,恒隆酒楼（春申路店）,94,4,463
27,聚餐宴请,添禧小厨（翔殷路店）,36,4,300
28,聚餐宴请,绍兴饭店（世博店）,140,3,262
29,聚餐宴请,8+1石锅鱼（九亭店）,50,4,2275
30,聚餐宴请,江南公社（惠南镇店）,59,4,964
31,聚餐宴请,梦雅,80,4,145
32,聚餐宴请,迎园食府,129,5,370
