,location
0,松江区
1,嘉定区
2,青浦区
3,奉贤区
4,松江区
5,浦东新区
6,黄浦区
7,嘉定区
8,浦东新区
9,浦东新区
10,浦东新区
11,浦东新区
12,浦东新区
13,闵行区
14,浦东新区
15,浦东新区
16,闵行区
17,徐汇区
18,浦东新区
19,闵行区
20,黄浦区
21,浦东新区
22,浦东新区
23,松江区
24,静安区
25,松江区
26,闵行区
27,杨浦区
28,浦东新区
29,松江区
30,浦东新区
31,闵行区
32,嘉定区
33,松江区
34,杨浦区
35,闵行区
36,闵行区
37,静安区
38,浦东新区
39,浦东新区
40,静安区
41,浦东新区
42,普陀区
43,嘉定区
44,静安区
45,静安区
46,闵行区
47,嘉定区
48,长宁区
49,浦东新区
50,闵行区
51,青浦区
52,浦东新区
53,嘉定区
54,徐汇区
55,奉贤区
56,闵行区
57,黄浦区
58,青浦区
59,静安区
60,浦东新区
61,浦东新区
62,浦东新区
63,长宁区
64,浦东新区
65,黄浦区
66,浦东新区
67,闵行区
68,浦东新区
69,长宁区
70,杨浦区
71,嘉定区
72,普陀区
73,浦东新区
74,静安区
75,青浦区
76,黄浦区
77,松江区
78,青浦区
79,黄浦区
80,其他区
81,长宁区
82,闵行区
83,松江区
84,闵行区
85,青浦区
86,黄浦区
87,杨浦区
88,闵行区
89,其他区
90,徐汇区
91,宝山区
92,青浦区
93,青浦区
94,松江区
95,金山区
96,浦东新区
97,徐汇区
98,奉贤区
99,青浦区
100,黄浦区
101,嘉定区
102,黄浦区
103,杨浦区
104,黄浦区
105,浦东新区
106,长宁区
107,静安区
108,浦东新区
109,松江区
110,浦东新区
111,宝山区
112,金山区
113,松江区
114,宝山区
115,其他区
116,浦东新区
117,徐汇区
118,黄浦区
119,浦东新区
120,金山区
121,嘉定区
122,闵行区
123,黄浦区
124,静安区
125,嘉定区
126,松江区
127,青浦区
128,闵行区
129,闵行区
130,黄浦区
131,青浦区
132,嘉定区
133,嘉定区
134,嘉定区
135,宝山区
136,闵行区
137,青浦区
138,松江区
139,闵行区
140,普陀区
141,松江区
142,青浦区
143,浦东新区
144,浦东新区
145,宝山区
146,浦东新区
147,嘉定区
148,嘉定区
149,宝山区
150,徐汇区
151,徐汇区
152,金山区
153,浦东新区
154,浦东新区
155,嘉定区
156,徐汇区
157,其他区
158,宝山区
159,浦东新区
160,松江区
161,浦东新区
162,浦东新区
163,嘉定区
164,长宁区
165,徐汇区
166,静安区
167,杨浦区
168,浦东新区
169,闵行区
170,青浦区
