,dish_type,price,star,comment_num,location
0,聚餐宴请,68,4,1614,松江区
1,聚餐宴请,71,4,452,嘉定区
2,聚餐宴请,36,4,285,青浦区
3,聚餐宴请,9,5,635,奉贤区
4,聚餐宴请,32,4,1032,松江区
5,聚餐宴请,51,4,381,浦东新区
6,聚餐宴请,175,4,544,黄浦区
7,聚餐宴请,56,4,1229,嘉定区
8,聚餐宴请,88,4,431,浦东新区
9,聚餐宴请,124,5,357,浦东新区
10,聚餐宴请,57,4,555,浦东新区
11,聚餐宴请,83,4,719,浦东新区
12,聚餐宴请,91,4,250,浦东新区
13,聚餐宴请,54,4,403,闵行区
14,聚餐宴请,63,4,425,浦东新区
15,聚餐宴请,61,4,647,浦东新区
16,聚餐宴请,112,4,234,闵行区
17,聚餐宴请,54,5,1093,徐汇区
18,聚餐宴请,101,4,1624,浦东新区
19,聚餐宴请,53,4,596,闵行区
20,聚餐宴请,146,4,587,黄浦区
21,聚餐宴请,68,4,466,浦东新区
22,聚餐宴请,68,4,265,浦东新区
23,聚餐宴请,165,5,588,松江区
24,聚餐宴请,64,4,1174,静安区
25,聚餐宴请,117,4,202,松江区
26,聚餐宴请,94,4,463,闵行区
27,聚餐宴请,36,4,300,杨浦区
28,聚餐宴请,140,3,262,浦东新区
29,聚餐宴请,50,4,2275,松江区
30,聚餐宴请,59,4,964,浦东新区
31,聚餐宴请,80,4,145,闵行区
32,聚餐宴请,129,5,370,嘉定区
33,聚餐宴请,40,4,229,松江区
34,聚餐宴请,55,4,457,杨浦区
35,聚餐宴请,48,4,1311,闵行区
36,聚餐宴请,62,4,1159,闵行区
37,聚餐宴请,132,4,709,静安区
38,聚餐宴请,94,3,666,浦东新区
39,聚餐宴请,68,4,281,浦东新区
40,聚餐宴请,186,4,1153,静安区
41,聚餐宴请,90,3,520,浦东新区
42,聚餐宴请,52,4,452,普陀区
43,聚餐宴请,114,5,812,嘉定区
44,聚餐宴请,140,4,486,静安区
45,江浙菜,99,4,127,静安区
46,江浙菜,93,5,1889,闵行区
47,江浙菜,96,5,622,嘉定区
48,江浙菜,77,4,39,长宁区
49,江浙菜,49,5,3212,浦东新区
50,江浙菜,112,5,107,闵行区
51,江浙菜,70,5,42,青浦区
